=== CONFIDENCE THRESHOLD ANALYSIS ===

Optimal confidence threshold: 1
F1 Score at optimal threshold: 0.035102020165109916

Threshold, Precision, Recall, F1 Score
1, 0.6918, 0.0180, 0.0351
2, 0.6907, 0.0125, 0.0245
3, 0.6830, 0.0097, 0.0192
4, 0.6742, 0.0082, 0.0162
5, 0.6650, 0.0069, 0.0137
6, 0.6557, 0.0061, 0.0120
7, 0.6519, 0.0054, 0.0108
8, 0.6466, 0.0049, 0.0096
9, 0.6405, 0.0044, 0.0087
10, 0.6299, 0.0040, 0.0079
11, 0.6219, 0.0036, 0.0072
12, 0.6168, 0.0033, 0.0065
13, 0.6109, 0.0030, 0.0060
14, 0.6023, 0.0028, 0.0055
15, 0.5962, 0.0025, 0.0051
